epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1248.75,0.73659,0.75584,1.07142,0.46489,0.30195,0.27124,0.18312,1.4908,1.6999,1.76053,4.31104e-05,4.31104e-05,4.31104e-05
86,1263.21,0.77082,0.79103,1.09088,0.48757,0.27348,0.27681,0.18669,1.4906,1.67458,1.75896,4.0576e-05,4.0576e-05,4.0576e-05
87,1277.85,0.75488,0.76293,1.0686,0.31229,0.4094,0.27767,0.18733,1.49677,1.70316,1.75808,3.80416e-05,3.80416e-05,3.80416e-05
88,1292.53,0.74903,0.76956,1.07448,0.31868,0.39702,0.28283,0.19004,1.503,1.70899,1.76738,3.55072e-05,3.55072e-05,3.55072e-05
89,1307.09,0.75789,0.76431,1.07089,0.36153,0.37113,0.29816,0.20164,1.50554,1.71845,1.78818,3.29728e-05,3.29728e-05,3.29728e-05
90,1321.75,0.74431,0.74951,1.07438,0.31642,0.40648,0.31055,0.20775,1.5113,1.72368,1.78869,3.04384e-05,3.04384e-05,3.04384e-05
91,1363,0.77404,0.7963,1.11834,0.29652,0.47011,0.2794,0.18958,1.52871,1.72095,1.8312,2.7904e-05,2.7904e-05,2.7904e-05
92,1377.41,0.74718,0.75247,1.09267,0.30434,0.4719,0.28264,0.18895,1.5182,1.72973,1.81718,2.53696e-05,2.53696e-05,2.53696e-05
93,1392.06,0.74138,0.73826,1.08871,0.32651,0.45931,0.28514,0.18962,1.50647,1.70871,1.79128,2.28352e-05,2.28352e-05,2.28352e-05
94,1406.62,0.72019,0.72534,1.07376,0.38128,0.42253,0.28421,0.19208,1.5104,1.72166,1.79047,2.03008e-05,2.03008e-05,2.03008e-05
95,1421.06,0.72242,0.7247,1.07426,0.39468,0.3734,0.28592,0.18738,1.50123,1.69339,1.78656,1.77664e-05,1.77664e-05,1.77664e-05
96,1435.54,0.71791,0.71069,1.07409,0.33974,0.46588,0.28663,0.19267,1.49235,1.70384,1.77941,1.5232e-05,1.5232e-05,1.5232e-05
97,1450,0.71109,0.71782,1.07276,0.35063,0.44617,0.29178,0.19259,1.49878,1.69348,1.78168,1.26976e-05,1.26976e-05,1.26976e-05
98,1464.53,0.70143,0.69914,1.06666,0.32699,0.4454,0.28752,0.19071,1.50242,1.6993,1.79237,1.01632e-05,1.01632e-05,1.01632e-05
99,1478.9,0.71834,0.69759,1.06579,0.33016,0.44448,0.28642,0.19399,1.493,1.71581,1.78301,7.6288e-06,7.6288e-06,7.6288e-06
100,1493.35,0.69256,0.69432,1.06234,0.33508,0.45117,0.2904,0.19566,1.49625,1.70704,1.77946,5.0944e-06,5.0944e-06,5.0944e-06
